Round,Team1,Team1-Fanpoints,Team1-Score,Team1-Match-Bonus,Team1-MatchTotal,Team2,Team2-Fanpoints,Team2-Score,Team2-Match-Bonus,Team2-MatchTotal
5,PK11,158,2,0,2,Bhagavath,0,0,0,0
5,Marauders,295,2,0,2,Daddy Munnetra Kalagam,284,0,0,0
5,Royapuram,342,2,0,2,Dummy,0,0,0,0
5,SecondDose,448,2,0,2,I'm in,338,0,0,0
5,IPL-T20-21,283,2,0,2,Kill Killi,278,0,0,0
5,Papampatti,318,2,0,2,Chicago T20,278,0,0,0
4,I'm in,688,2,0,2,Dummy,0,0,0,0
4,Daddy Munnetra Kalagam,1277,2,0,2,IPL-T20-21,1174,0,0,0
4,Papampatti,1284,2,0,2,Bhagavath,0,0,0,0
4,PK11,1710,2,0,2,Kill Killi,1047,0,0,0
4,SecondDose,1908,2,0,2,Marauders,1047,0,0,0
4,Royapuram,1966,2,0,2,Chicago T20,993,0,0,0
3,Papampatti,480,2,0,2,Dummy,0,0,0,0
3,IPL-T20-21,1106,2,0,2,I'm in,569,0,0,0
3,Kill Killi,1045,2,1,3,Daddy Munnetra Kalagam,443,0,0,0
3,SecondDose,309,2,0,2,Bhagavath,0,0,0,0
3,Royapuram,820,2,0,2,PK11,655,0,0,0
3,Chicago T20,918,2,0,2,Marauders,895,0,0,0
2,Kill Killi,1733,2,0,2,SecondDose,1066,0,0,0
2,Papampatti,1505,2,1,3,Royapuram,639,0,0,0
2,Marauders,2035,2,0,2,IPL-T20-21,1022,0,0,0
2,PK11,1757,2,0,2,I'm in,993,0,0,0
2,Dummy,0,0,0,0,Bhagavath,0,0,0,0
2,Daddy Munnetra Kalagam,1566,2,0,2,Chicago T20,1085,0,0,0
1,Kill Killi,1209,2,0,2,Royapuram,795,0,0,0
1,Daddy Munnetra Kalagam,1213,2,0,2,Dummy,0,0,0,0
1,I'm in,499,2,0,2,Bhagavath,0,0,0,0
1,PK11,1050,2,1,3,IPL-T20-21,315,0,0,0
1,Marauders,1353,2,0,2,Papampatti,1126,0,0,0
1,SecondDose,1343,2,1,3,Chicago T20,607,0,0,0
