,Round,Team,Fanpoints,Score,Match-Bonus,Round-Bonus,Total-Score
0,1,SecondDose,1343,2,1,0,3
1,1,Kill Killi,1209,2,0,0,2
2,1,Marauders,1353,2,0,1,3
3,1,PK11,1050,2,1,0,3
4,1,I'm in,499,2,0,0,2
5,1,Daddy Munnetra Kalagam,1213,2,0,0,2
6,2,Daddy Munnetra Kalagam,1566,2,0,0,2
7,2,Dummy,0,0,0,0,0
8,2,PK11,1757,2,0,0,2
9,2,Marauders,2035,2,0,1,3
10,2,Papampatti,1505,2,1,0,3
11,2,Kill Killi,1733,2,0,0,2
12,3,Marauders,405,2,0,1,3
13,3,Royapuram,303,2,1,0,3
14,3,SecondDose,305,2,0,0,2
15,3,Kill Killi,399,2,1,0,3
16,3,Papampatti,70,2,0,0,2
17,3,IPL-T20-21,120,2,0,0,2
18,1,Chicago T20,607,0,0,0,0
19,1,Royapuram,795,0,0,0,0
20,1,Papampatti,1126,0,0,0,0
21,1,IPL-T20-21,315,0,0,0,0
22,1,Bhagavath,0,0,0,0,0
23,1,Dummy,0,0,0,0,0
24,2,Chicago T20,1085,0,0,0,0
25,2,Bhagavath,0,0,0,0,0
26,2,I'm in,993,0,0,0,0
27,2,IPL-T20-21,1022,0,0,0,0
28,2,Royapuram,639,0,0,0,0
29,2,SecondDose,1066,0,0,0,0
30,3,Chicago T20,357,0,0,0,0
31,3,PK11,93,0,0,0,0
32,3,Bhagavath,0,0,0,0,0
33,3,Daddy Munnetra Kalagam,68,0,0,0,0
34,3,Dummy,0,0,0,0,0
35,3,I'm in,90,0,0,0,0
